idno,cntry,age,gndr,hincfel,vote,eisced,w4gq1,w4hq1,w4dq1,w4eq1,w4hq3,w4gq6,w4dq3,w4eq3,w4hq6,w4gq10_b,w4dq4_3,w4eq7,w4hq9,w4gq12_a,w4dq10,w4eq10,w4hq11,w4gq13_b,w4dq12,w4eq12,w4hq14,w4gq14_b,w4dq13_6,w4eq14,w4hq17,w4gq16_a,w4dq15,w4eq17,w4hq20,w4gq17_b
77661,PL,71,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95608,PL,63,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97277,PL,48,2,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55955,PT,34,1,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64615,PT,69,1,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65676,PT,55,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65859,PT,45,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67642,PT,55,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78412,PT,59,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82997,PT,41,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89677,PT,58,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94667,PT,64,2,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50236,SI,72,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59037,SI,55,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65396,SI,54,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68906,SI,70,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70073,SI,28,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70186,SI,77,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72542,SI,77,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75232,SI,19,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79870,SI,48,2,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84291,SI,22,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
