demographic,domain,feature_idx,mean_diff,cohens_d,p_value,p_corrected,significant,large_effect,sign_agreement,cv,outlier_ratio,is_noisy,feature_significant,selection_method,layer
vote,economy,2468,0.05436581000685692,1.4918506145477295,0.0,0.0,True,True,0.8666666666666667,0.6703084111213684,0.0,False,True,significant,5
vote,economy,16288,-0.04742646962404251,-1.4174782037734985,0.0,0.0,True,True,0.8397058823529412,0.7054781913757324,0.004411764705882353,False,True,significant,5
vote,economy,3478,0.041390933096408844,0.7535682916641235,1.870079162176663e-201,2.3960389265388496e-201,True,True,0.6622549019607843,1.3270196914672852,0.0014705882352941176,False,True,significant,5
vote,economy,7755,0.04002757370471954,1.4195771217346191,0.0,0.0,True,True,0.8166666666666667,0.7044351100921631,0.003431372549019608,False,True,significant,5
vote,economy,15589,0.03876378759741783,0.7702418565750122,1.4007714159242584e-208,1.9143876017631532e-208,True,True,0.6627450980392157,1.2982934713363647,0.000980392156862745,False,True,significant,5
vote,economy,16204,-0.03867953270673752,-0.6732491850852966,8.334968842042058e-168,1.0355567349203768e-167,True,True,0.6598039215686274,1.4853341579437256,0.0004901960784313725,False,True,significant,5
vote,economy,4780,-0.035171568393707275,-0.9297543168067932,3.071488523480962e-278,4.843501133181517e-278,True,True,0.7098039215686275,1.0755529403686523,0.00392156862745098,False,True,significant,5
vote,economy,10466,-0.03440563753247261,-1.0944994688034058,0.0,0.0,True,True,0.7196078431372549,0.9136596322059631,0.0004901960784313725,False,True,significant,5
vote,economy,4918,-0.03419117629528046,-0.5270816683769226,9.682054093055815e-111,1.0728762643656443e-110,True,True,0.6230392156862745,1.897239089012146,0.0004901960784313725,False,True,significant,5
vote,economy,15618,-0.029549632221460342,-0.8102627396583557,7.747903828019919e-226,1.0953932998235058e-225,True,True,0.6397058823529411,1.2341675758361816,0.0014705882352941176,False,True,significant,5
vote,economy,1844,0.029503677040338516,0.6504601240158081,1.6674278687887067e-158,2.010721841774617e-158,True,True,0.6357843137254902,1.5373731851577759,0.0004901960784313725,False,True,significant,5
vote,economy,1633,-0.02933517098426819,-0.768377423286438,8.840738608868827e-208,1.1692589773020062e-207,True,True,0.634313725490196,1.3014438152313232,0.0014705882352941176,False,True,significant,5
vote,economy,2649,0.02871093712747097,0.9029803276062012,2.0314684390598854e-266,3.0848224444983444e-266,True,True,0.6666666666666666,1.107443928718567,0.0058823529411764705,False,True,significant,5
vote,economy,3958,-0.022840073332190514,-0.5046672821044922,1.2326188484220738e-102,1.2958300714180777e-102,True,True,0.6058823529411764,1.9815036058425903,0.00392156862745098,False,True,significant,5
vote,values,6373,-0.8894314169883728,-1.0958586931228638,0.0,0.0,True,True,0.9958333333333333,0.9125264286994934,0.0,False,True,significant,5
vote,values,7939,0.40360966324806213,0.5756679773330688,1.964680911859854e-136,2.3113893080704166e-136,True,True,0.6680555555555555,1.7371124029159546,0.0,False,True,significant,5
vote,values,9016,0.28327545523643494,0.4705047011375427,6.470045838305635e-96,6.8105745666375104e-96,True,True,0.799074074074074,2.1253774166107178,0.005555555555555556,False,True,significant,5
vote,values,8460,-0.24785879254341125,-1.066550850868225,0.0,0.0,True,True,0.7870370370370371,0.9376018047332764,0.002777777777777778,False,True,significant,5
vote,values,8840,-0.20863714814186096,-4.339354038238525,0.0,0.0,True,True,1.0,0.23044905066490173,0.000462962962962963,False,True,significant,5
vote,values,7205,-0.20271991193294525,-3.6634294986724854,0.0,0.0,True,True,0.999537037037037,0.27296826243400574,0.003703703703703704,False,True,significant,5
vote,values,8600,-0.2011139988899231,-0.38744843006134033,1.193047662884953e-67,1.193047662884953e-67,True,True,0.6078703703703704,2.580988645553589,0.000462962962962963,False,True,significant,5
vote,values,9738,0.16561053693294525,0.40861183404922485,1.7224497017561104e-74,1.7666150787242158e-74,True,True,0.9263888888888889,2.447310447692871,0.06111111111111111,False,True,significant,5
vote,values,14240,0.15784867107868195,1.0206900835037231,0.0,0.0,True,True,0.9930555555555556,0.9797293543815613,0.006944444444444444,False,True,significant,5
vote,values,14732,0.14898726344108582,2.8662540912628174,0.0,0.0,True,True,0.999537037037037,0.3488874137401581,0.000925925925925926,False,True,significant,5
vote,values,9577,0.13376736640930176,2.0304007530212402,0.0,0.0,True,True,0.9606481481481481,0.49251362681388855,0.0,False,True,significant,5
